"Current Assigned Rank","Programme Preference","Programme Type","Programme Title","Programme Description","Unit of Application","Group","Foundation School","Duration","Pattern","Places Available","Placement 1: Year","Placement 1: Employer/Trust","Placement 1: Site","Placement 1: Location","Placement 1: Specialty","Placement 1: Description","Placement 2: Year","Placement 2: Employer/Trust","Placement 2: Site","Placement 2: Location","Placement 2: Specialty","Placement 2: Description","Placement 3: Year","Placement 3: Employer/Trust","Placement 3: Site","Placement 3: Location","Placement 3: Specialty","Placement 3: Description","Placement 4: Year","Placement 4: Employer/Trust","Placement 4: Site","Placement 4: Location","Placement 4: Specialty","Placement 4: Description","Placement 5: Year","Placement 5: Employer/Trust","Placement 5: Site","Placement 5: Location","Placement 5: Specialty","Placement 5: Description","Placement 6: Year","Placement 6: Employer/Trust","Placement 6: Site","Placement 6: Location","Placement 6: Specialty","Placement 6: Description","Placement 7: Year","Placement 7: Employer/Trust","Placement 7: Site","Placement 7: Location","Placement 7: Specialty","Placement 7: Description","Placement 8: Year","Placement 8: Employer/Trust","Placement 8: Site","Placement 8: Location","Placement 8: Specialty","Placement 8: Description","Programme Name","Programme Number","Tags"
"0","23/EAN/01/RC979/01/11","FP","23/EAN/01/RC979/01/11","F1 - General (Internal) Medicine, General Surgery, Emergency Medicine. F2 - Obstetrics and Gynaecology, Foundation (TBC), Urology. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Obstetrics and Gynaecology","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Foundation","TBC","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Urology","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/12","FP","23/EAN/01/RC979/01/12","F1 - General Surgery, Emergency Medicine, General (Internal) Medicine. F2 - Urology, Obstetrics and Gynaecology, Foundation (TBC). Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Urology","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Obstetrics and Gynaecology","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Foundation","TBC","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/13","FP","23/EAN/01/RC979/01/13","F1 - General Surgery, General (Internal) Medicine, General Psychiatry. F2 - Emergency Medicine, Intensive Care Medicine, Trauma and Orthopaedic Surgery. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Intensive Care Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Trauma and Orthopaedic Surgery","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/14","FP","23/EAN/01/RC979/01/14","F1 - General (Internal) Medicine, General Psychiatry, General Surgery. F2 - Trauma and Orthopaedic Surgery, Emergency Medicine, Intensive Care Medicine. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Trauma and Orthopaedic Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Intensive Care Medicine","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/15","FP","23/EAN/01/RC979/01/15","F1 - General Psychiatry, General Surgery, General (Internal) Medicine. F2 - Intensive Care Medicine, Trauma and Orthopaedic Surgery, Emergency Medicine. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","EAST LONDON NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Intensive Care Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Trauma and Orthopaedic Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/16","FP","23/EAN/01/RC979/01/16","F1 - General Surgery, Acute Internal Medicine, General Surgery. F2 - Emergency Medicine, General Psychiatry, Otolaryngology. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Acute Internal Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Otolaryngology","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/17","FP","23/EAN/01/RC979/01/17","F1 - General Surgery, General Surgery, General (Internal) Medicine. F2 - Otolaryngology, Emergency Medicine, General Psychiatry. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Otolaryngology","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/18","FP","23/EAN/01/RC979/01/18","F1 - General Surgery, General (Internal) Medicine, General Surgery. F2 - General Psychiatry, Otolaryngology, Emergency Medicine. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F2","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Otolaryngology","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/19","FP","23/EAN/01/RC979/01/19","F1 - Palliative Medicine, General Surgery, General (Internal) Medicine.  F2 - General (Internal) Medicine, Trauma and Orthopaedic Surgery, Paediatrics.  Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Palliative Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Trauma and Orthopaedic Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Paediatrics","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/20","FP","23/EAN/01/RC979/01/20","F1 - Acute Internal Medicine, Palliative Medicine, General Surgery. F2 - Paediatrics, General (Internal) Medicine, Trauma and Orthopaedic Surgery. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Acute Internal Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Palliative Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Paediatrics","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Trauma and Orthopaedic Surgery","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/21","FP","23/EAN/01/RC979/01/21","F1 -  General (Internal) Medicine, General Surgery, Palliative Medicine. F2 - Trauma and Orthopaedic Surgery, Paediatrics, General (Internal) Medicine. Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Surgery","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Palliative Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Trauma and Orthopaedic Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Paediatrics","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General (Internal) Medicine","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/22","FP","23/EAN/01/RC979/01/22","F1 - General Psychiatry, Endocrinology and Diabetes Mellitus, Urology.  F2 - Paediatrics, Emergency Medicine, Plastic Surgery.  Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","EAST LONDON NHS FOUNDATION TRUST","Bedford Hospital","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Endocrinology and Diabetes Mellitus","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Urology","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Paediatrics","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Plastic Surgery","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/23","FP","23/EAN/01/RC979/01/23","F1 - Urology, General Psychiatry, Endocrinology and Diabetes Mellitus.  F2 - Plastic Surgery, Paediatrics, Emergency Medicine.  Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Urology","","F1","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Endocrinology and Diabetes Mellitus","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Plastic Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Paediatrics","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","","","","","","","","","","","","","","",""
"0","23/EAN/01/RC979/01/24","FP","23/EAN/01/RC979/01/24","F1 - Endocrinology and Diabetes Mellitus, Urology, General Psychiatry.  F2 - Emergency Medicine, Plastic Surgery, Paediatrics.  Please note these rotations may be subject to change.","Health Education England East of England","","EBH Foundation School","24","3 x 4 months","1","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Endocrinology and Diabetes Mellitus","","F1","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Urology","","F1","EAST LONDON NHS FOUNDATION TRUST","Bedford","Bedford","General Psychiatry","You are expected to take responsibility for any required travel.","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Emergency Medicine","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Plastic Surgery","","F2","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","Bedford Hospital","Bedford","Paediatrics","","","","","","","","","","","","","","","",""
